"Cmmunication, when complete",4,a,"A proposes, by letter, to sell a house to B at a certain price.
The communication of the proposal is complete when B receives the letter"
"Cmmunication, when complete",4,b,"B accepts A’s proposal by a letter sent by post.The communication of the acceptance is complete— as against A, when the letter is posted;
as against B, when the letter is received by A."
